
設備生産性 １１月 ( 作業日 2024/11/01 ～ 2024/11/30 ) 発行 2024/12/02 15:56 

稼働 負荷 段取 加工 その他 点数 段取 実加工 操 ｶﾄﾞ 分 分 数量 
分類名 昼夜 機械･ｸﾞﾙｰﾌﾟ 日数 時間 時間 時間 時間 (ｶﾝﾘｮｳ) 回数 数量 業 ｳﾘﾂ /ﾃﾝ /ｶｲ /ｶｺｳｼﾞ 
ﾋｶﾞｼ1.ﾊｸｵｼL Ｂ夜 MF3 10 74.73 37.70 27.83 9.20 37 37 110,490 100 88 61 61 3,970 
ﾋｶﾞｼ1.ﾊｸｵｼL Ｂ夜 MF5 11 82.73 38.43 36.58 7.72 44 47 125,681 100 91 52 49 3,435 
ﾋｶﾞｼ1.ﾊｸｵｼL Ｂ夜 NF1 10 72.62 40.33 22.93 9.35 18 20 48,612 97 87 134 121 2,120 

ﾋｶﾞｼ1.ﾊｸｵｼL Ａ昼 HSP3 7 53.57 20.25 26.55 6.77 18 20 26,019 102 87 68 61 980 
ﾋｶﾞｼ1.ﾊｸｵｼL Ｂ昼 HSP3 9 60.23 15.83 34.93 9.47 13 16 36,353 89 84 73 59 1,041 
ﾋｶﾞｼ1.ﾊｸｵｼL Ｂ夜 HSP3 1 4.75 0.88 3.28 0.58 1 1 2,676 63 88 53 53 815 

ﾋｶﾞｼ.ｺﾊﾞﾝｹﾝﾋﾟﾝ Ａ昼 CBL14 9 53.32 12.72 29.30 11.30 52 71 160,510 79 79 15 11 5,478 
ﾋｶﾞｼ.ｺﾊﾞﾝｹﾝﾋﾟﾝ Ａ昼 CBL15 9 53.98 14.68 32.02 7.28 47 59 196,767 80 87 19 15 6,146 
ﾋｶﾞｼ.ｺﾊﾞﾝｹﾝﾋﾟﾝ Ｂ昼 CBL14 10 65.43 14.15 36.93 14.35 58 76 224,162 87 78 15 11 6,069 
ﾋｶﾞｼ.ｺﾊﾞﾝｹﾝﾋﾟﾝ Ｂ昼 CBL15 10 63.75 16.40 37.65 9.70 56 72 253,568 85 85 18 14 6,735 

ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ昼 E500 11 89.43 42.73 35.63 11.07 48 49 589,197 108 88 53 52 16,535 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ昼 E506 11 89.60 37.67 35.33 16.60 43 45 673,772 109 81 53 50 19,069 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ昼 E508 11 88.78 26.23 52.62 9.93 16 22 1,197,906 108 89 98 72 22,767 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ昼 E809 11 76.57 37.72 28.37 10.48 18 23 306,253 93 86 126 98 10,796 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ昼 G452 11 85.60 40.45 35.30 9.85 22 26 348,197 104 88 110 93 9,864 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ昼 G453 11 88.87 40.80 40.33 7.73 25 26 790,522 108 91 98 94 19,600 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ昼 G454 11 87.88 44.23 34.80 8.85 39 40 503,234 107 90 68 66 14,461 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ昼 G654 11 91.02 43.35 38.58 9.08 14 17 404,383 110 90 186 153 10,481 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ昼 G655 11 87.17 29.05 50.30 7.82 13 19 661,348 106 91 134 92 13,148 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ昼 G656 11 85.18 23.88 55.47 5.83 10 17 766,926 103 93 143 84 13,827 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ夜 E506 9 72.53 29.83 33.03 9.67 33 37 655,002 107 87 54 48 19,829 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ夜 E508 9 73.80 25.78 41.73 6.28 14 20 807,405 109 91 111 77 19,347 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ夜 E809 9 76.47 30.08 39.48 6.90 15 17 374,450 113 91 120 106 9,484 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ夜 G452 9 73.27 32.92 33.95 6.40 20 23 337,812 109 91 99 86 9,950 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ夜 G453 9 71.57 44.05 19.90 7.62 38 38 316,362 106 89 70 70 15,898 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ夜 G454 9 71.57 33.80 31.95 5.82 36 36 443,964 106 92 56 56 13,896 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ夜 G654 7 55.47 25.12 26.47 3.88 9 11 275,060 106 93 167 137 10,393 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ夜 G655 8 62.85 32.82 23.17 6.87 13 17 180,852 105 89 151 116 7,807 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ａ夜 G656 3 23.15 6.35 15.30 1.50 2 3 215,190 103 94 191 127 14,065 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ｂ昼 E500 9 76.25 36.12 28.52 11.62 41 41 424,469 113 85 53 53 14,885 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ｂ昼 E506 9 71.75 25.75 37.22 8.78 23 27 824,686 106 88 67 57 22,159 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ｂ昼 E508 9 71.70 18.72 48.18 4.80 6 12 1,061,884 106 93 187 94 22,038 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ｂ昼 E809 9 78.15 38.42 28.72 11.02 13 19 273,506 116 86 177 121 9,524 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ｂ昼 G452 9 72.78 30.18 34.25 8.35 23 26 494,217 108 89 79 70 14,430 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ｂ昼 G453 9 72.88 33.43 28.83 10.62 38 41 517,212 108 85 53 49 17,938 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ｂ昼 G454 9 71.15 30.50 34.38 6.27 33 34 709,880 105 91 55 54 20,646 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ｂ昼 G654 9 75.95 42.10 27.35 6.50 20 21 261,810 113 91 126 120 9,573 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ｂ昼 G655 9 70.63 21.35 42.47 6.82 16 18 775,210 105 90 80 71 18,255 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ｂ昼 G656 9 64.97 22.57 37.47 4.93 9 12 556,139 96 92 150 113 14,844 
ﾋｶﾞｼ1.ﾉﾘﾂｹ Ｂ夜 E500 2 12.12 3.97 7.57 0.58 4 4 133,366 81 95 60 60 17,625 
